State_Region,State_Region_Mya,SR_Pcode,District,District_Mya,D_Pcode,Township,Township_Mya,TS_Pcode,Place,Postcode,Remark
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Myitkyina,01011,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Myitkyina University,01012,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Mankein,01013,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Aungmyintha,01014,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Mapakha,01015,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Tarlawgyi,01016,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Myothitgyi,01017,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Myitkyina,မြစ်ကြီးနား,MMR001001,Pyihtaung,01018,
Kachin,ကချင်ပြည်နယ်,MMR001,Puta-O,ပူတာအိုခရိုင်,MMR001D004,Nawngmun,နောင်မွန်း,MMR001017,Nawngmun,01031,
Kachin,ကချင်ပြည်နယ်,MMR001,Puta-O,ပူတာအိုခရိုင်,MMR001D004,Nawngmun,နောင်မွန်း,MMR001017,Pannandin,01032,
Kachin,ကချင်ပြည်နယ်,MMR001,Puta-O,ပူတာအိုခရိုင်,MMR001D004,Machanbaw,မချမ်းဘော,MMR001016,Machanbaw,01041,
Kachin,ကချင်ပြည်နယ်,MMR001,Puta-O,ပူတာအိုခရိုင်,MMR001D004,Puta-O,ပူတာအို,MMR001014,Puta-O,01051,
Kachin,ကချင်ပြည်နယ်,MMR001,Puta-O,ပူတာအိုခရိုင်,MMR001D004,Puta-O,ပူတာအို,MMR001014,Puta-O airport,01052,
Kachin,ကချင်ပြည်နယ်,MMR001,Puta-O,ပူတာအိုခရိုင်,MMR001D004,Sumprabum,ဆွမ်ပရာဘွမ်,MMR001015,Sumprabum,01061,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Chipwi,ချီဗွေ,MMR001005,Chipwi,01071,
Kachin,ကချင်ပြည်နယ်,MMR001,Mohnyin,မိုးညှင်းခရိုင်,MMR001D002,Chipwi,ချီဗွေ,MMR001005,Panwar,01072,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Waingmaw,ဝိုင်းမော်,MMR001002,Waingmaw,01081,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Waingmaw,ဝိုင်းမော်,MMR001002,Sadone,01082,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Waingmaw,ဝိုင်းမော်,MMR001002,Kanbaiti,01083,
Kachin,ကချင်ပြည်နယ်,MMR001,Myitkyina,မြစ်ကြီးနားခရိုင်,MMR001D001,Waingmaw,ဝိုင်းမော်,MMR001002,Warshaung,01084,
